S (%),O (%),C (%),H (%),N (%),Ash (%),T (oC),S/B,ER,H2 (mol/kg ),CH4 (mol/kg ),CO2 (mol/kg),CO (mol/kg )
1.6,18.2,29.5,4.9,4.1,41.7,800,0,0.3,7.48,2.21,9.99,5.98
1.6,18.2,29.5,4.9,4.1,41.7,800,0,0.3,6.9,1.74,9.7,4.98
1.6,18.2,29.5,4.9,4.1,41.7,800,0,0.3,5.95,1.94,9.49,5.26
1.6,18.2,29.5,4.9,4.1,41.7,800,1,0.3,8.35,2.15,10.42,4.61
1.6,18.2,29.5,4.9,4.1,41.7,800,1,0.3,7.3,1.74,10.04,4.2
1.6,18.2,29.5,4.9,4.1,41.7,800,1,0.3,6.93,1.65,10.94,5.48
1.6,18.2,29.5,4.9,4.1,41.7,800,0,0.3,9.55,2.22,9.59,6.68
1.6,18.2,29.5,4.9,4.1,41.7,800,0,0.3,7.77,1.74,10.21,4.52
1.6,18.2,29.5,4.9,4.1,41.7,800,0,0.3,6.97,1.68,10.43,4.52
1.6,18.2,29.5,4.9,4.1,41.7,800,1,0.3,11.62,1.84,12.59,4.03
1.6,18.2,29.5,4.9,4.1,41.7,800,1,0.3,9.42,1.58,11.88,3.85
1.6,18.2,29.5,4.9,4.1,41.7,800,1,0.3,7.86,2.01,11.73,4.34
1.01,16.25,32.03,3.88,4.72,42.12,750,0,0.3,2.26,1.01,8.35,3.67
1.01,16.25,32.03,3.88,4.72,42.12,800,0,0.25,2.71,1.12,8.95,3.9
1.01,16.25,32.03,3.88,4.72,42.12,850,0,0.25,3.28,1.32,8.72,4.26
1.01,16.25,32.03,3.88,4.72,42.12,750,0,0.3,2.12,0.85,9.61,3.66
1.01,16.25,32.03,3.88,4.72,42.12,800,0,0.3,2.4,1.05,10.01,3.8
1.01,16.25,32.03,3.88,4.72,42.12,850,0,0.3,2.65,1.22,9.53,4.28
1.01,16.25,32.03,3.88,4.72,42.12,750,0,0.35,2.66,1.22,12.13,4.41
1.01,16.25,32.03,3.88,4.72,42.12,800,0,0.35,2.23,1.24,11.94,4.57
1.01,16.25,32.03,3.88,4.72,42.12,850,0,0.35,2.28,1.33,11.12,4.85
1.01,16.25,32.03,3.88,4.72,42.12,850,0,0.3,3.28,1.54,10.43,4.54
1.01,16.25,32.03,3.88,4.72,42.12,850,0,0.3,2.89,1.49,10.16,4.86
1.01,16.25,32.03,3.88,4.72,42.12,850,0,0.3,4,1.3,10.5,4.78
1.01,16.25,32.03,3.88,4.72,42.12,850,0,0.3,4.12,1.22,10.18,4.65
1.01,16.25,32.03,3.88,4.72,42.12,850,0,0.3,5.24,1.36,10.5,5.15
1.01,16.25,32.03,3.88,4.72,42.12,850,0,0.25,4.79,1.2,8.65,4.6
1.01,16.25,32.03,3.88,4.72,42.12,850,0,0.3,5.54,1.33,10.36,5.23
1.01,16.25,32.03,3.88,4.72,42.12,850,0,0.3,5.74,1.34,10.45,5.34
1.01,16.25,32.03,3.88,4.72,42.12,850,0,0.3,5.74,1.41,10.47,5.34
0.9,18.9,27.3,4.8,4.1,44,750,0,0.2,4.64,1.62,6.8,3.12
0.9,18.9,27.3,4.8,4.1,44,800,0,0.2,6.98,2.25,6.85,4.88
0.9,18.9,27.3,4.8,4.1,44,850,0,0.2,8.17,2.62,6.55,5.75
0.9,18.9,27.3,4.8,4.1,44,750,0,0.3,4.73,1.55,8.88,3.93
0.9,18.9,27.3,4.8,4.1,44,800,0,0.3,6.48,1.72,8.88,4.56
0.9,18.9,27.3,4.8,4.1,44,850,0,0.3,7.84,1.97,8.58,5.99
0.9,18.9,27.3,4.8,4.1,44,750,0,0.4,2.31,0.67,10.3,2.84
0.9,18.9,27.3,4.8,4.1,44,800,0,0.4,6.57,1.71,10.78,4.88
0.9,18.9,27.3,4.8,4.1,44,850,0,0.4,7.49,1.5,10.86,5.8
0.9,18.9,27.3,4.8,4.1,44,750,0.5,0.3,5.92,1.55,8.95,4.21
0.9,18.9,27.3,4.8,4.1,44,800,0.5,0.3,7.13,1.85,9.7,4.98
0.9,18.9,27.3,4.8,4.1,44,850,0.5,0.3,10.82,2.06,9.95,6.64
0.9,18.9,27.3,4.8,4.1,44,750,1,0.3,6.23,1.67,9.83,4.45
0.9,18.9,27.3,4.8,4.1,44,800,1,0.3,7.78,1.61,9.96,5.1
